school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Galt High,Galt Joint Union High,2018-19,1000,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,3.46736E+13,Sacramento
Liberty Ranch High,Galt Joint Union High,2018-19,1180,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,3.46736E+13,Sacramento
Buckeye School of the Arts,Gateway Unified,2018-19,619,Wildfires,Carr Fire 2018,Carr Fire - Air Quality - State of Emergency,7-Sep-18,2018,1,4.57527E+13,Shasta
Central Valley High,Gateway Unified,2018-19,593,Wildfires,Carr Fire 2018,Carr Fire - Air Quality - State of Emergency,7-Sep-18,2018,1,4.57527E+13,Shasta
Gateway Community Day,Gateway Unified,2018-19,17,Wildfires,Carr Fire 2018,Carr Fire - Air Quality - State of Emergency,7-Sep-18,2018,1,4.57527E+13,Shasta
Gateway Educational Options,Gateway Unified,2018-19,62,Wildfires,Carr Fire 2018,Carr Fire - Air Quality - State of Emergency,7-Sep-18,2018,1,4.57527E+13,Shasta
Grand Oaks Elementary,Gateway Unified,2018-19,230,Wildfires,Carr Fire 2018,Carr Fire - Air Quality - State of Emergency,7-Sep-18,2018,1,4.57527E+13,Shasta
Great Partnership Special Education Consortium,Gateway Unified,2018-19,80,Wildfires,Carr Fire 2018,Carr Fire - Air Quality - State of Emergency,7-Sep-18,2018,1,4.57527E+13,Shasta
Mountain Lakes High,Gateway Unified,2018-19,36,Wildfires,Carr Fire 2018,Carr Fire - Air Quality - State of Emergency,7-Sep-18,2018,1,4.57527E+13,Shasta
Shasta Lake,Gateway Unified,2018-19,651,Wildfires,Carr Fire 2018,Carr Fire - Air Quality - State of Emergency,7-Sep-18,2018,1,4.57527E+13,Shasta
Gerber Elementary,Gerber Union Elementary,2018-19,378,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,5.27155E+13,Tehama
