school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
William Hopkins Junior High,Fremont Unified,2018-19,1060,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,1.61177E+12,Alameda
Young Adult Program,Fremont Unified,2018-19,41,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,1.61176E+12,Alameda
Hume Lake Charter,Fresno County Office of Education,2015-16,73,Wildfires,Other Wildfires,Rough Fire,"August 24-28, 2015 and September 3-25, 2015",2015,21,,Fresno
Lake Canyon Elementary,Galt Joint Union Elementary,2018-19,554,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,3.46735E+13,Sacramento
Marengo Ranch Elementary,Galt Joint Union Elementary,2018-19,532,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,3.46735E+13,Sacramento
River Oaks Elementary,Galt Joint Union Elementary,2018-19,559,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,3.46735E+13,Sacramento
Robert L. McCaffrey Middle,Galt Joint Union Elementary,2018-19,884,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,3.46735E+13,Sacramento
Valley Oaks Elementary,Galt Joint Union Elementary,2018-19,583,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,3.46735E+13,Sacramento
Vernon E. Greer Elementary,Galt Joint Union Elementary,2018-19,463,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,3.46735E+13,Sacramento
Estrellita Continuation High,Galt Joint Union High,2018-19,45,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,3.46736E+13,Sacramento
